"rt","key_press","immOpt","delOpt","delay","task","randomize","trial_type","trial_index","time_elapsed","internal_node_id","choice","timelineType"
"2360","81","-0.91","-10.00","10","loss","0","html-keyboard-response","20","27169","0.0-3.0-0.0","immediate","trial"
"2324","80","-0.40","-1.00","5","loss","1","html-keyboard-response","23","31607","0.0-3.0-0.1","immediate","trial"
"1704","81","0.31","5.00","5","reward","1","html-keyboard-response","26","35421","0.0-3.0-0.2","delayed","trial"
"1097","80","16.67","20.00","2","reward","0","html-keyboard-response","29","38630","0.0-3.0-0.3","delayed","trial"
"2848","80","-2.63","-5.00","3","loss","1","html-keyboard-response","32","43589","0.0-3.0-0.4","immediate","trial"
"2636","80","-0.14","-1.00","2","loss","1","html-keyboard-response","35","48338","0.0-3.0-0.5","immediate","trial"
"2075","81","-5.00","-10.00","10","loss","0","html-keyboard-response","38","52524","0.0-3.0-0.6","immediate","trial"
"3167","80","0.04","1.00","50","reward","1","html-keyboard-response","41","57803","0.0-3.0-0.7","immediate","trial"
"3081","81","0.33","1.00","20","reward","1","html-keyboard-response","44","62997","0.0-3.0-0.8","delayed","trial"
"2782","81","-0.32","-10.00","10","loss","0","html-keyboard-response","47","67892","0.0-3.0-0.9","immediate","trial"
"1116","81","3.33","20.00","50","reward","1","html-keyboard-response","50","71123","0.0-3.0-0.10","delayed","trial"
"2153","80","8.33","10.00","2","reward","0","html-keyboard-response","53","75389","0.0-3.0-0.11","delayed","trial"
"2432","81","-1.00","-10.00","3","loss","0","html-keyboard-response","56","79933","0.0-3.0-0.12","immediate","trial"
"3584","81","2.50","5.00","2","reward","1","html-keyboard-response","59","85629","0.0-3.0-0.13","delayed","trial"
"3411","81","0.40","1.00","3","reward","1","html-keyboard-response","62","91153","0.0-3.0-0.14","delayed","trial"
"2655","81","8.00","20.00","5","reward","1","html-keyboard-response","65","95920","0.0-3.0-0.15","delayed","trial"
"3033","81","2.63","5.00","3","reward","1","html-keyboard-response","68","101064","0.0-3.0-0.16","delayed","trial"
"3115","81","0.13","20.00","50","reward","1","html-keyboard-response","71","106291","0.0-3.0-0.17","delayed","trial"
"3201","80","1.67","10.00","5","reward","0","html-keyboard-response","74","111602","0.0-3.0-0.18","delayed","trial"
"2355","81","3.85","5.00","3","reward","1","html-keyboard-response","77","116070","0.0-3.0-0.19","delayed","trial"
"1385","80","1.43","10.00","20","reward","0","html-keyboard-response","80","119569","0.0-3.0-0.20","delayed","trial"
"1558","81","-0.33","-20.00","20","loss","0","html-keyboard-response","83","123239","0.0-3.0-0.21","immediate","trial"
"2354","81","1.43","10.00","2","reward","1","html-keyboard-response","86","127706","0.0-3.0-0.22","delayed","trial"
"3256","80","-0.45","-5.00","20","loss","1","html-keyboard-response","89","133072","0.0-3.0-0.23","immediate","trial"
"3768","80","0.31","5.00","50","reward","1","html-keyboard-response","92","138952","0.0-3.0-0.24","immediate","trial"
"2681","81","4.55","5.00","1","reward","0","html-keyboard-response","95","143746","0.0-3.0-0.25","immediate","trial"
"3844","80","-4.55","-5.00","10","loss","0","html-keyboard-response","98","149703","0.0-3.0-0.26","delayed","trial"
"3199","81","-4.90","-5.00","2","loss","0","html-keyboard-response","101","155015","0.0-3.0-0.27","immediate","trial"
"3300","81","-3.33","-5.00","1","loss","0","html-keyboard-response","104","160426","0.0-3.0-0.28","immediate","trial"
"4018","80","0.83","5.00","10","reward","0","html-keyboard-response","107","166555","0.0-3.0-0.29","delayed","trial"
"3215","80","0.91","10.00","20","reward","0","html-keyboard-response","110","171882","0.0-3.0-0.30","delayed","trial"
"2576","80","-0.10","-5.00","50","loss","1","html-keyboard-response","113","176569","0.0-3.0-0.31","immediate","trial"
"2847","81","-7.69","-10.00","1","loss","0","html-keyboard-response","116","181528","0.0-3.0-0.32","immediate","trial"
"2458","81","0.03","1.00","10","reward","0","html-keyboard-response","119","186098","0.0-3.0-0.33","immediate","trial"
"2903","80","-8.33","-10.00","20","loss","0","html-keyboard-response","122","191113","0.0-3.0-0.34","delayed","trial"
"3243","80","-0.97","-1.00","3","loss","0","html-keyboard-response","125","196468","0.0-3.0-0.35","delayed","trial"
"2489","80","-6.67","-20.00","20","loss","1","html-keyboard-response","128","201070","0.0-3.0-0.36","immediate","trial"
"3987","80","0.91","1.00","1","reward","0","html-keyboard-response","131","207171","0.0-3.0-0.37","delayed","trial"
"1548","80","0.83","5.00","5","reward","0","html-keyboard-response","134","210831","0.0-3.0-0.38","delayed","trial"
"2015","80","0.67","1.00","5","reward","1","html-keyboard-response","137","214957","0.0-3.0-0.39","immediate","trial"
"1770","80","-0.83","-1.00","20","loss","0","html-keyboard-response","140","218838","0.0-3.0-0.40","delayed","trial"
"1537","81","-1.82","-20.00","20","loss","0","html-keyboard-response","143","222487","0.0-3.0-0.41","immediate","trial"
"1844","80","5.00","10.00","1","reward","0","html-keyboard-response","146","226441","0.0-3.0-0.42","delayed","trial"
"1694","80","-4.17","-5.00","20","loss","0","html-keyboard-response","149","230247","0.0-3.0-0.43","delayed","trial"
"3364","80","-0.53","-1.00","3","loss","1","html-keyboard-response","152","235722","0.0-3.0-0.44","immediate","trial"
"3719","81","-625.00","-10.00","50","loss","1","html-keyboard-response","155","241552","0.0-3.0-0.45","delayed","trial"
"null","null","-0.83","-5.00","5","loss","0","html-keyboard-response","158","248665","0.0-3.0-0.46","","trial"
